year,age,agesq,nbh,cbd,inst,linst,price,rooms,area,land,baths,dist,ldist,lprice,y81,larea,lland,linstsq
1978,48,2304,4,3000,1000,6.9078002,60000,7,1660,4578,1,10700,9.2779989,11.0021,0,7.4145727,8.4290171,47.717705
1978,83,6889,4,4000,1000,6.9078002,40000,6,2612,8370,2,11000,9.3056507,10.596635,0,7.8678713,9.0324087,47.717705
1978,58,3364,4,4000,1000,6.9078002,34000,6,1144,5000,1,11500,9.3501024,10.434115,0,7.0422864,8.5171928,47.717705
1978,11,121,4,4000,1000,6.9078002,63900,5,1136,10000,1,11900,9.3842936,11.065075,0,7.0352688,9.2103405,47.717705
1978,48,2304,4,4000,2000,7.6009002,44000,5,1868,10000,1,12100,9.4009609,10.691945,0,7.5326238,9.2103405,57.773682
1978,78,6084,4,3000,2000,7.6009002,46000,6,1780,9500,3,10000,9.2103395,10.736397,0,7.4843688,9.1590471,57.773682
1978,22,484,4,4000,2000,7.6009002,56000,6,1700,10878,2,11700,9.3673439,10.933107,0,7.4383836,9.2944975,57.773682
1978,78,6084,4,3000,2000,7.6009002,38500,6,1556,3870,2,10200,9.2301426,10.558414,0,7.3498735,8.2610102,57.773682
1978,42,1764,4,3000,2000,7.6009002,60500,8,1642,7000,2,10500,9.2591314,11.010399,0,7.4036703,8.8536654,57.773682
1978,41,1681,4,3000,2000,7.6009002,55000,5,1443,7950,2,11000,9.3056507,10.915089,0,7.2744794,8.9809275,57.773682
1978,78,6084,4,1000,4000,8.2939997,39000,6,1439,4990,1,8600,9.0595169,10.571317,0,7.2717037,8.5151911,68.790428
1978,38,1444,0,6000,4000,8.2939997,41000,5,1482,8017,1,12200,9.4091911,10.621327,0,7.3011479,8.9893198,68.790428
1978,18,324,0,5000,4000,8.2939997,50900,6,1290,12538,2,12400,9.4254522,10.837618,0,7.1623974,9.4365196,68.790428
1978,32,1024,0,9000,7000,8.8536997,52000,6,1274,7858,1,16800,9.7291336,10.858999,0,7.1499166,8.9692879,78.388
1978,18,324,0,9000,8000,8.9871998,49000,6,1476,15664,1,17200,9.7526646,10.799576,0,7.297091,9.6591206,80.76976
1978,58,3364,4,2000,3000,8.0064001,80000,7,1838,9249,2,9900,9.2002897,11.289782,0,7.5164332,9.1322708,64.10244
1978,56,3136,4,2000,3000,8.0064001,50000,6,1536,10491,2,10000,9.2103395,10.819778,0,7.336937,9.2582731,64.10244
1978,70,4900,4,2000,3000,8.0064001,59000,5,2458,9400,2,10000,9.2103395,10.985292,0,7.8071032,9.1484652,64.10244
1978,26,676,4,3000,4000,8.2939997,42000,4,750,8000,1,10600,9.268609,10.645425,0,6.6200733,8.9871969,68.790428
1978,21,441,4,4000,4000,8.2939997,71500,5,2106,13370,2,11700,9.3673439,11.177453,0,7.6525459,9.5007687,68.790428
1978,24,576,4,4000,5000,8.5172005,43000,4,1000,8000,1,11700,9.3673439,10.668956,0,6.9077554,8.9871969,72.542702
1978,33,1089,4,5000,5000,8.5172005,48000,6,1410,10370,2,12500,9.4334841,10.778956,0,7.2513452,9.2466726,72.542702
1978,128,16384,2,14000,14000,9.5467997,37500,7,2346,43560,2,19600,9.8832846,10.532096,0,7.7604671,10.681894,91.14138
1978,15,225,2,18000,18000,9.7981005,59000,6,1215,44867,1,24000,10.08581,10.985292,0,7.1024995,10.711458,96.002769
1978,7,49,2,18000,18000,9.7981005,59000,6,2128,44174,2,22200,10.00785,10.985292,0,7.6629376,10.695891,96.002769
1978,0,0,2,16000,17000,9.7410002,94000,7,2290,25250,3,21700,9.9850683,11.45105,0,7.7363071,10.136581,94.887085
1978,0,0,2,17000,17000,9.7410002,95920,7,2464,48269,3,21700,9.9850683,11.47127,0,7.8095412,10.784545,94.887085
1978,0,0,2,17000,17000,9.7410002,95000,7,2240,44916,3,21900,9.9942417,11.461632,0,7.714231,10.712549,94.887085
1978,0,0,2,17000,17000,9.7410002,95900,7,2464,50808,3,22000,9.9987984,11.471062,0,7.8095412,10.835809,94.887085
