inlf,kidslt6,kidsge6,age,educ,unem,exper,nwifeinc,lnwage,expersq
1,1,0,32,12,5,14,10.91006,1.2101537,196
1,0,2,30,12,11,5,19.499981,.3285121,25
1,1,3,35,12,5,15,12.03991,1.5141377,225
1,0,3,34,12,5,6,6.7999959,.092123322,36
1,1,2,31,14,9.5,7,20.100058,1.5242722,49
1,0,0,54,12,7.5,33,9.8590536,1.5564801,1089
1,0,2,37,16,5,11,9.1520481,2.1202595,121
1,0,0,54,12,5,35,10.900038,2.0596342,1225
1,0,2,48,12,3,24,17.305,.75433636,576
1,0,2,39,12,5,21,12.925,1.5448993,441
1,0,1,33,12,5,15,24.299953,1.4019216,225
1,0,1,42,11,5,14,19.700071,1.5242722,196
1,1,2,30,12,5,0,15.000008,.73395324,0
1,0,2,43,12,7.5,14,14.6,.81836909,196
1,0,1,43,10,7.5,6,24.630915,1.3028312,36
1,0,3,35,11,7.5,9,17.531027,.29802838,81
1,0,2,43,12,7.5,20,14.09998,1.1676096,400
1,0,5,39,12,7.5,6,15.839,1.6438394,36
1,0,0,45,12,5,23,14.1,.69314718,529
1,0,4,35,12,5,9,10.299961,2.0219316,81
1,0,2,42,16,7.5,5,22.654982,1.2542475,25
1,0,0,30,12,3,11,8.0900478,1.2729577,121
1,0,0,48,13,5,18,17.479,1.178655,324
1,0,0,45,12,11,15,9.5600004,1.178655,225
1,1,1,31,12,5,4,8.2749529,.76755869,16
1,0,2,43,17,9.5,21,27.349985,1.3318118,441
1,0,0,59,12,9.5,31,16,1.3862944,961
1,0,3,32,12,11,9,16.999983,1.5532696,81
1,1,0,31,17,5,7,15.100056,1.9818149,49
1,0,0,42,12,9.5,7,15.699984,1.7693604,49
1,0,0,50,11,7.5,32,5.1189599,.43080789,1024
1,0,0,59,16,14,11,16.750011,.89975482,121
1,0,2,36,13,7.5,16,13.599932,1.7666297,256
1,0,1,51,12,5,14,17.100048,1.2729577,196
1,0,3,45,16,5,27,16.734049,1.3367889,729
1,0,1,42,11,7.5,0,14.196978,.90170485,0
1,0,0,46,12,11,17,10.319987,.86512369,289
1,0,1,46,10,11,28,11.384105,1.5118471,784
1,0,0,51,14,14,24,14.594078,1.7260292,576
1,0,0,30,17,5,11,17.500439,2.6831424,121
1,1,2,30,12,3,1,15.509996,.98529428,1
1,0,0,57,12,7.5,14,21.999975,1.3659385,196
1,1,2,31,16,9.5,6,22.5,.94503367,36
1,0,2,48,12,5,10,19.993999,1.5123762,100
1,0,3,30,12,5,6,14.13,.69314718,36
1,0,2,34,12,3,4,5.0000129,1.2447884,16
1,0,2,48,16,5,10,21.154898,.7011649,100
1,0,0,45,12,11,22,7.1419458,1.5198632,484
1,0,0,51,12,3,16,16.650072,.82096857,256
1,0,2,30,12,14,6,6.3519998,.96983153,36
1,0,1,46,12,11,12,27.313948,.8285082,144
1,0,0,58,12,9.5,32,14.500004,.094309643,1024
1,0,8,37,12,5,15,16.25799,.16254389,225
1,0,0,52,8,5,17,9.5,.47000363,289
1,0,0,52,10,7.5,34,7.9999561,.62924844,1156
1,0,0,31,16,7.5,9,12.500029,1.3971602,81
1,0,0,55,14,14,37,14.000032,2.2654438,1369
1,0,0,34,17,7.5,10,20.800074,2.0845411,100
1,0,0,55,14,11,35,19.385113,1.5258389,1225
1,0,2,39,12,14,6,12.386992,.76216006,36
1,0,3,40,14,7.5,19,28.5,1.4816046,361
1,0,4,43,12,9.5,10,15.049909,1.2628264,100
1,0,0,48,8,14,11,10.499984,.99967557,121
1,0,0,47,12,9.5,15,11.81,1.8325815,225
1,0,4,41,12,5,12,6.9500732,2.4793077,144
1,0,0,36,8,7.5,12,12.419971,1.2790153,144
1,0,2,46,17,7.5,14,17.400003,1.9379356,196
1,0,0,34,12,5,11,15.499996,1.0704528,121
1,0,3,41,12,5,9,21.217043,1.1239226,81
1,0,1,51,12,5,24,18,1.3217559,576
1,0,0,33,12,7.5,12,11.899919,1.7449998,144
1,0,0,52,12,7.5,13,26.751955,1.3017436,169
1,0,0,58,9,7.5,29,12.149961,1.6418664,841
1,2,4,34,10,7.5,11,10.19999,2.1070201,121
1,0,1,31,12,7.5,13,8.1200151,1.4670676,169
1,0,1,48,12,5,19,10.659965,1.6058114,361
1,0,2,32,12,3,2,18.10001,-1.0297394,4
1,0,0,49,17,14,24,8.5999861,1.0876862,576
1,2,2,32,15,7.5,9,13.665,0,81
1,0,0,58,12,7.5,6,32.34996,.9382087,36
1,0,0,50,6,7.5,22,12.085006,-.15059038,484
1,0,0,60,14,9.5,30,12.15,0,900
1,0,1,50,12,7.5,10,17.695021,1.0736705,100
1,0,0,56,14,9.5,6,24.700001,1.2658484,36
1,0,0,51,9,3,29,2.133992,.48636898,841
1,0,1,54,17,5,29,20.950048,2.1202595,841
1,0,0,59,13,5,36,10.50008,1.1298525,1296
1,0,2,46,9,5,19,10.55,.9932518,361
1,0,1,46,15,5,8,45.75,1.658628,64
1,1,3,39,12,14,13,13.63204,.3474122,169
1,0,2,44,12,11,16,18.238939,1.5683242,256
1,2,0,33,12,9.5,11,17.089996,.5108456,121
1,1,2,33,12,7.5,15,30.2349,.11484543,225
1,0,2,48,12,9,6,28.700001,-.69314718,36
1,0,4,31,12,11,13,19.629995,-.33645228,169
1,0,1,45,12,11,22,12.824943,1.0282255,484
1,0,1,45,12,5,24,23.799999,1.5806886,576
1,0,2,32,13,7.5,2,26.300026,.55589461,4
1,0,0,47,12,3,6,20.699907,.90142071,36
1,0,2,34,13,3,2,26.000004,.88430458,4
1,0,1,37,12,9.5,2,10.877021,.4282046,4
1,0,1,36,12,11,14,25.612062,1.0584151,196
1,1,2,47,12,9.5,9,20.988995,.87833959,81
1,0,1,48,16,7.5,11,70.749931,1.6549083,121
1,0,2,42,12,11,9,17.049999,1.3217559,81
1,0,3,33,13,11,6,20.999996,.3285121,36
1,0,0,46,11,5,19,8.1199999,1.3862944,361
1,0,3,47,12,9.5,26,20.88599,1.1728846,676
1,0,1,44,12,9.5,19,17.668919,1.2241871,361
1,0,4,36,12,7.5,3,25.200029,.28765708,9
1,2,0,31,17,7.5,7,14.245006,2.2302618,49
1,0,0,55,14,9.5,28,14.3,1.5040774,784
1,0,1,45,16,9.5,13,23.70001,1.531152,169
1,0,0,47,17,9.5,9,45.999996,1.3751576,81
1,0,3,46,12,14,15,42.999905,1.7602688,225
