marr,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,lwage,black,children,expersq,agesq,marrblck
1,1002.5,4,27,4,77,2867,1,0,0,15.5,3.9000001,4.5,19,0,37.233761,6.9102521,1,0,16,729,1
1,2030,5,28,4,78,2789,1,0,0,13.3,2.5,8.8000002,28,0,35.756409,7.6157908,1,1,25,784,1
0,650,1,25,4,74,1149,0,0,1,5.5,3.3,.2,19,0,15.52703,6.4769731,1,0,1,625,0
0,2030,5,28,4,47,1178,0,1,0,7.3000002,5.0999999,1.5,1,0,25.063829,7.6157908,1,0,25,784,0
0,755,3,24,4,82,2096,1,0,0,10.8,4.3000002,2.5999999,24,0,25.56098,6.626718,1,0,9,576,0
0,2014.5,9,31,4,82,1971,0,1,0,11.3,4.9000001,1.5,4,0,24.036579,7.6081262,1,0,81,961,0
1,1065,1,28,0,80,2303,0,1,0,15.1,7.1999998,1.4,40,0,28.7875,6.9707298,0,0,1,784,0
0,420,3,27,3,67,1131,0,1,0,6.5999999,4.1999998,.69999999,47,0,16.8806,6.0402551,1,0,9,729,0
1,150,1,25,4,60,542,1,0,0,3.0999999,.69999999,2,,0,9.0333338,5.0106349,1,0,1,625,1
1,3050,12,35,3,74,2700,0,1,0,26,6.5,2.3,3,1,36.486488,8.0228968,1,1,144,1225,1
1,1030.9,9,31,4,70,2337,1,0,0,12.1,2.5999999,6.9000001,66,0,33.385719,6.9381881,1,1,81,961,1
0,182,2,25,4,74,983,1,0,0,3.4000001,1.2,2.2,35,0,13.28378,5.2040071,0,0,4,625,0
1,900,7,29,4,77,2746,1,0,0,10.8,4.0999999,10.1,12,0,35.662338,6.8023949,1,1,49,841,1
0,850,1,23,4,51,767,0,1,0,4.8000002,2.5999999,1.2,20,0,15.03922,6.7452359,1,0,1,529,0
1,1004,8,30,4,82,2173,1,0,0,16.299999,3.2,2.7,15,0,26.5,6.911747,1,1,64,900,1
1,2040,6,28,4,82,2648,1,0,0,14.4,4.5999999,2.5999999,6,0,32.292679,7.6207051,1,1,36,784,1
1,3125,3,25,4,51,1757,0,1,0,16.4,8.8000002,3.5999999,1,1,34.450981,8.0471897,1,0,9,625,1
0,3120,2,24,4,60,2018,0,0,1,21.5,10.2,1.4,2,1,33.633339,8.0455875,1,0,4,576,0
0,4000,18,41,4,74,1987,0,0,1,11.7,7.3000002,1.1,8,0,26.851351,8.2940493,1,0,324,1681,0
0,570,8,30,4,50,1005,1,0,0,6.1999998,2.7,2.0999999,44,0,20.1,6.3456359,1,0,64,900,0
0,620,6,27,4,82,2770,1,0,0,14.8,2.0999999,4,18,1,33.780491,6.429719,1,0,36,729,0
0,150,3,25,4,36,419,1,0,0,3.5999999,1.3,1,,0,11.63889,5.0106349,1,0,9,625,0
1,4000,8,31,0,75,2856,1,0,0,20.1,6.0999999,4.5999999,8,0,38.080002,8.2940493,1,1,64,961,1
0,150,8,30,4,34,682,0,1,0,5.0999999,3.5999999,1,28,0,20.058821,5.0106349,0,0,64,900,0
1,1007.5,1,26,0,75,1808,0,1,0,10.9,4,3.4000001,29,0,24.10667,6.9152269,0,1,1,676,0
1,1059,4,26,4,76,1502,0,0,1,6.9000001,5.6999998,1.4,7,0,19.763161,6.9650798,0,1,16,676,0
1,1020,7,29,4,43,397,0,0,1,2.7,2.9000001,.80000001,11,0,9.2325583,6.9275579,0,0,49,841,0
1,3007.5,8,29,4,72,2759,1,0,0,22,8.6999998,5.5999999,5,1,38.319439,8.0088644,1,1,64,841,1
1,150,8,31,4,76,1371,0,0,1,7.0999999,4.5999999,.89999998,16,0,18.039471,5.0106349,0,1,64,961,0
1,1120,9,31,4,51,814,1,0,0,6.5999999,.80000001,1.6,84,0,15.96078,7.0210838,1,0,81,961,1
0,840,3,24,3,73,1548,1,0,0,8.3000002,2.2,3.8,11,0,21.205481,6.7334018,1,0,9,576,0
0,1050.2,10,32,4,82,1708,0,1,0,4.5999999,5.4000001,.5,14,0,20.829269,6.9567361,1,0,100,1024,0
1,3541,8,28,4,50,1838,0,0,1,17,10.2,3,1,0,36.759998,8.1721649,1,1,64,784,1
0,3543,4,27,4,70,965,0,1,0,5,2,1.1,2,0,13.78571,8.1727285,0,0,16,729,0
0,1075,4,26,4,57,1447,0,1,0,10.6,8.8000002,.80000001,11,0,25.385969,6.9800758,1,0,16,676,0
1,475,1,25,4,22,149,1,0,0,1.6,.5,.89999998,,0,6.772727,6.1633148,1,0,1,625,1
0,850,1,24,4,79,2022,0,1,0,9.3999996,5.0999999,1.6,22,0,25.59494,6.7452359,1,0,1,576,0
1,312,3,24,4,72,1531,1,0,0,8.3000002,2.9000001,1.8,45,0,21.263889,5.7430029,1,1,9,576,1
1,2850,8,30,4,76,2386,1,0,0,17.299999,3,7.8000002,25,1,31.394739,7.9550738,0,1,64,900,0
1,2278,9,31,4,82,2768,1,0,0,14.3,3.7,3.0999999,47,0,33.7561,7.7310529,1,1,81,961,1
1,4570,8,32,4,76,2660,0,1,0,13.7,7.5999999,2.5,45,0,35,8.427268,1,0,64,1024,1
0,1200,6,27,4,15,286,0,1,0,3.7,4.9000001,.40000001,,0,19.066669,7.0900769,1,0,36,729,0
0,350,2,24,4,77,1165,1,0,0,5.4000001,2,1.4,28,0,15.12987,5.857933,1,0,4,576,0
0,844.99988,4,25,3,50,428,0,0,1,2.7,1.9,.60000002,33,0,8.5600004,6.739336,1,0,16,625,0
0,2000,3,24,3,82,3066,1,0,0,19.200001,4.6999998,4.5999999,4,0,37.39024,7.600903,1,0,9,576,0
0,275,2,24,4,81,1773,0,1,0,5.8000002,7.5,1.2,41,0,21.888889,5.6167712,1,0,4,576,0
0,2033,2,22,3,79,2896,0,1,0,19.200001,4.5,3.4000001,4,1,36.65823,7.6172681,1,0,4,484,0
0,488,3,24,4,47,1255,0,0,1,11.4,5.5,1,30,0,26.702129,6.1903148,1,0,9,576,0
0,1065,4,25,4,79,1684,0,1,0,8.8000002,4.4000001,1.5,6,0,21.31646,6.9707298,1,0,16,625,0
0,250,7,28,4,16,158,1,0,0,1.3,.60000002,1.4,46,0,9.875,5.521461,1,0,49,784,0
0,1082.5,3,25,2,80,2617,1,0,0,18,2.0999999,4.5,3,0,32.712502,6.9870291,1,1,9,625,0
1,2161,2,24,4,79,2699,0,1,0,15.4,8.6999998,2.0999999,5,0,34.164558,7.6783261,1,0,4,576,1
1,600,5,27,4,74,877,0,1,0,4.0999999,2.7,.5,,0,11.85135,6.3969302,1,0,25,729,1
0,150,1,23,4,38,285,1,0,0,1.9,.89999998,.40000001,34,0,7.5,5.0106349,1,0,1,529,0
0,3000,3,28,4,82,2853,0,0,1,12,11.9,1.5,4,0,34.792679,8.0063677,1,0,9,784,0
1,1200,1,23,3,79,1406,0,1,0,8.1000004,2.9000001,1.3,9,0,17.79747,7.0900769,1,0,1,529,1
0,1100,1,24,4,82,2853,1,0,0,12.5,4.1999998,2.4000001,13,0,34.792679,7.0030661,1,0,1,576,0
0,1244,2,25,3,80,1507,0,1,0,8,5.5999999,.60000002,10,0,18.8375,7.1260872,1,1,4,625,0
1,1280,9,31,4,69,2591,1,0,0,20.4,2.2,3.8,18,0,37.55072,7.1546149,1,1,81,961,1
0,735,1,23,4,79,1519,1,0,0,8.5,1.5,1.3,11,0,19.22785,6.5998712,1,0,1,529,0
0,902.00012,1,24,4,82,2172,1,0,0,10.3,2.3,4.8000002,10,0,26.487801,6.804615,1,0,1,576,0
0,300,5,28,4,71,1163,0,0,1,5.0999999,4,1.2,17,0,16.38028,5.703783,0,0,25,784,0
0,1498,3,24,4,42,496,1,0,0,3.9000001,1,1.2,8,0,11.80952,7.3118858,1,0,9,576,0
1,672,2,24,4,69,1786,0,0,1,9.1999998,6.9000001,3.5,22,0,25.88406,6.5102582,1,1,4,576,1
0,1617,4,27,4,80,2773,0,1,0,17.299999,8.3999996,1.5,16,0,34.662498,7.3883281,1,0,16,729,0
1,1000,11,34,4,82,1230,0,0,1,4.6999998,3.5999999,.40000001,30,0,15,6.9077549,1,0,121,1156,1
1,1160,4,24,4,69,1318,0,1,0,8.6999998,4.5,1,17,0,19.10145,7.0561752,1,1,16,576,1
0,1120,4,27,4,82,1296,0,1,0,8.1999998,4.9000001,.5,16,0,15.80488,7.0210838,1,0,16,729,0
0,250,3,26,4,76,1097,1,0,0,5.6999998,1.2,2.9000001,,0,14.43421,5.521461,1,0,9,676,0
1,2844,10,31,4,62,2324,0,1,0,16.799999,5.5999999,5.0999999,7,1,37.483871,7.9529672,0,1,100,961,0
1,2414,4,25,3,79,2738,0,1,0,15,8.1000004,4.0999999,3,0,34.65823,7.789041,1,1,16,625,1
1,2100,13,35,4,51,1022,1,0,0,14.5,1.6,1.8,18,0,20.039221,7.649693,1,1,169,1225,1
1,700,3,24,4,82,3533,1,0,0,21,4.9000001,4.6999998,24,1,43.085369,6.5510802,1,0,9,576,1
0,1600,2,21,2,76,2438,0,1,0,17.5,9.1000004,3.5999999,1,1,32.078949,7.377759,1,0,4,441,0
1,525,7,29,4,73,1225,1,0,0,5.1999998,1.4,2,,0,16.780821,6.2633982,0,0,49,841,0
0,650,2,24,4,66,1122,1,0,0,6.6999998,2,2.9000001,24,0,17,6.4769731,1,0,4,576,0
0,790,5,31,4,67,1606,1,0,0,9.3000002,2.7,3.0999999,,0,23.97015,6.6720328,1,0,25,961,0
0,1100,4,28,3,75,1292,0,1,0,4.6999998,3.8,.5,,0,17.226669,7.0030661,1,0,16,784,0
0,1200,3,24,4,81,2370,0,1,0,9.8999996,5.4000001,2.9000001,11,0,29.25926,7.0900769,1,0,9,576,0
0,1544,7,29,4,75,2571,1,0,0,13.6,5.0999999,5.0999999,47,0,34.279999,7.3421321,1,1,49,841,0
0,3170,11,31,4,80,3277,0,0,1,27.299999,11.9,3.5999999,1,1,40.962502,8.0614872,1,0,121,961,0
0,225,2,24,4,47,219,0,0,1,1.9,1.3,.2,,0,4.659575,5.416101,1,0,4,576,0
1,2283,8,29,4,78,2209,1,0,0,11.6,4.1999998,4.1999998,6,0,28.320511,7.7332458,1,1,64,841,1
