year,totacc,fatacc,injacc,pdoacc,ntotacc,nfatacc,ninjacc,npdoacc,rtotacc,rfatacc,rinjacc,rpdoacc,ushigh,cntyrds,strtes,t,tsq,unem,spdlaw,beltlaw,wkends,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ltotacc,lfatacc,prcfat,prcrfat,lrtotacc,lrfatacc,lntotacc,lnfatacc,prcnfat,lushigh,lcntyrds,lstrtes,spdt,beltt,prcfat_1
1981,40511,365,15626,24520,38235,323,14743,23169,236,12,99,125,1057,6838,3474,1,1,7.9000001,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10.609329,5.8998976,.90098989,5.0847459,5.4638319,2.4849067,10.551507,5.7776523,.84477574,6.9631901,8.8302507,8.1530619,0,0,
1981,36034,329,14469,21236,33989,294,13620,20075,200,8,101,91,934,6057,3123,2,4,8,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.492218,5.7960577,.91302657,4,5.2983174,2.0794415,10.433792,5.6835799,.8649857,6.8394766,8.7089701,8.0465498,0,0,.90098989
1981,40328,369,16026,23933,37990,335,15105,22550,253,12,110,131,1143,6803,3458,3,9,7.4000001,0,0,13,0,1,0,0,0,0,0,0,0,0,0,10.604801,5.9107966,.91499704,4.743083,5.5333896,2.4849067,10.545078,5.8141303,.88181102,7.0414119,8.825119,8.1484461,0,0,.91302657
1981,37699,369,15560,21770,35457,326,14654,20477,270,14,123,133,1009,6314,3202,4,16,7.1999998,0,0,12,0,0,1,0,0,0,0,0,0,0,0,10.537389,5.9107966,.97880578,5.185185,5.5984221,2.6390574,10.476076,5.7868972,.91942352,6.9167151,8.7505245,8.0715313,0,0,.91499704
1981,38816,355,16546,21915,36611,321,15569,20721,263,6,136,121,1082,6746,3334,5,25,6.0999999,0,0,15,0,0,0,1,0,0,0,0,0,0,0,10.566587,5.872118,.91457134,2.2813687,5.572154,1.7917595,10.508104,5.771441,.87678564,6.9865665,8.8167048,8.111928,0,0,.97880578
1981,38900,422,16778,21700,36555,376,15747,20432,290,16,131,143,1024,6668,3538,6,36,6.6999998,0,0,12,0,0,0,0,1,0,0,0,0,0,0,10.568749,6.0450053,1.0848329,5.5172415,5.6698809,2.7725887,10.506574,5.9295893,1.0285871,6.9314718,8.8050756,8.1713171,0,0,.91457134
1981,38625,470,16515,21640,36303,429,15506,20368,312,22,143,147,1028,6614,3573,7,49,7.4000001,0,0,13,0,0,0,0,0,1,0,0,0,0,0,10.561655,6.1527328,1.2168285,7.0512819,5.7430034,3.0910425,10.499656,6.0614572,1.1817205,6.9353704,8.7969437,8.1811609,0,0,1.0848329
1981,39539,466,17063,22010,37034,422,16029,20583,311,12,140,159,1117,6635,3717,8,64,6.9000001,0,0,14,0,0,0,0,0,0,1,0,0,0,0,10.585043,6.1441855,1.1785831,3.858521,5.7397928,2.4849067,10.519591,6.0450053,1.1394935,7.0184016,8.8001137,8.2206726,0,0,1.2168285
1981,38070,398,16243,21429,35843,363,15309,20171,257,11,122,124,1041,6473,3377,9,81,7,0,0,12,0,0,0,0,0,0,0,1,0,0,0,10.547182,5.9864521,1.0454427,4.2801557,5.5490761,2.3978953,10.486903,5.894403,1.01275,6.947937,8.7753954,8.1247435,0,0,1.1785831
1981,40676,401,16810,23465,38218,354,15758,22106,215,10,95,110,1224,6708,3579,10,100,7.5999999,0,0,14,0,0,0,0,0,0,0,0,1,0,0,10.613394,5.9939613,.98583931,4.6511626,5.3706379,2.3025851,10.551062,5.869297,.92626512,7.1098795,8.8110561,8.1828384,0,0,1.0454427
1981,39270,356,15930,22984,36781,316,14969,21496,278,8,117,153,1195,6309,3494,11,121,7.8000002,0,0,13,0,0,0,0,0,0,0,0,0,1,0,10.578217,5.8749309,.90654445,2.8776979,5.6276212,2.0794415,10.512736,5.7557421,.8591392,7.0859013,8.749732,8.158802,0,0,.98583931
