year,id,dist,passen,fare,bmktshr,ldist,y98,y99,y00,lfare,ldistsq,concen,lpassen
1997,1,528,152,106,.83859998,6.2690964,0,0,0,4.6634393,39.301571,.83859998,5.0238805
1998,1,528,265,106,.81330001,6.2690964,1,0,0,4.6634393,39.301571,.81330001,5.57973
1999,1,528,336,113,.82620001,6.2690964,0,1,0,4.7273879,39.301571,.82620001,5.817111
2000,1,528,298,123,.86120003,6.2690964,0,0,1,4.8121843,39.301571,.86120003,5.6970935
1997,2,861,282,104,.57980001,6.7580943,0,0,0,4.6443911,45.671837,.57980001,5.6419072
1998,2,861,178,105,.58169997,6.7580943,1,0,0,4.6539602,45.671837,.58169997,5.1817837
1999,2,861,204,115,.73190004,6.7580943,0,1,0,4.7449322,45.671837,.73190004,5.31812
2000,2,861,190,129,.53860003,6.7580943,0,0,1,4.8598123,45.671837,.53860003,5.2470241
1997,3,852,241,207,.81800002,6.7475867,0,0,0,5.3327188,45.529926,.81800002,5.484797
1998,3,852,253,188,.81720001,6.7475867,1,0,0,5.2364421,45.529926,.81720001,5.5333896
1999,3,852,244,229,.79980004,6.7475867,0,1,0,5.433722,45.529926,.79980004,5.4971681
2000,3,852,244,247,.70969999,6.7475867,0,0,1,5.5093884,45.529926,.70969999,5.4971681
1997,4,724,233,243,.46040002,6.5847912,0,0,0,5.4930615,43.359474,.46040002,5.4510384
1998,4,724,248,226,.4614,6.5847912,1,0,0,5.4205351,43.359474,.4614,5.5134287
1999,4,724,224,229,.43340001,6.5847912,0,1,0,5.433722,43.359474,.43340001,5.4116459
2000,4,724,339,176,.3716,6.5847912,0,0,1,5.1704841,43.359474,.3716,5.8260002
1997,5,1073,396,119,.4571,6.9782138,0,0,0,4.7791233,48.695469,.4571,5.9814143
1998,5,1073,529,105,.5632,6.9782138,1,0,0,4.6539602,48.695469,.5632,6.2709885
1999,5,1073,494,121,.50080001,6.9782138,0,1,0,4.7957907,48.695469,.50080001,6.2025356
2000,5,1073,710,109,.51969999,6.9782138,0,0,1,4.6913481,48.695469,.51969999,6.5652652
1997,6,318,237,181,.91000003,5.7620516,0,0,0,5.1984968,33.201237,.91000003,5.46806
1998,6,318,213,197,.90680003,5.7620516,1,0,0,5.2832036,33.201237,.90680003,5.3612924
1999,6,318,209,190,.92860001,5.7620516,0,1,0,5.2470241,33.201237,.92860001,5.3423343
2000,6,318,163,171,.96930003,5.7620516,0,0,1,5.1416636,33.201237,.96930003,5.09375
1997,7,1270,168,200,.66949999,7.1467724,0,0,0,5.2983174,51.076355,.66949999,5.1239638
1998,7,1270,185,218,.70819998,7.1467724,1,0,0,5.3844953,51.076355,.70819998,5.220356
1999,7,1270,178,229,.67140001,7.1467724,0,1,0,5.433722,51.076355,.67140001,5.1817837
2000,7,1270,197,220,.62310004,7.1467724,0,0,1,5.3936276,51.076355,.62310004,5.2832036
1997,8,614,173,134,.59790003,6.4199948,0,0,0,4.89784,41.216335,.59790003,5.1532917
1998,8,614,157,153,.63499999,6.4199948,1,0,0,5.0304379,41.216335,.63499999,5.0562458
1999,8,614,176,145,.55990005,6.4199948,0,1,0,4.9767337,41.216335,.55990005,5.1704841
2000,8,614,192,161,.64199996,6.4199948,0,0,1,5.0814042,41.216335,.64199996,5.2574954
1997,9,1673,200,149,.2013,7.4223738,0,0,0,5.0039463,55.091633,.2013,5.2983174
1998,9,1673,194,155,.20639999,7.4223738,1,0,0,5.0434251,55.091633,.20639999,5.267858
1999,9,1673,214,162,.21969999,7.4223738,0,1,0,5.0875964,55.091633,.21969999,5.3659759
2000,9,1673,310,152,.28470001,7.4223738,0,0,1,5.0238805,55.091633,.28470001,5.7365723
1997,10,1976,171,271,.24430001,7.58883,0,0,0,5.602119,57.59034,.24430001,5.1416636
1998,10,1976,155,242,.2568,7.58883,1,0,0,5.4889379,57.59034,.2568,5.0434251
1999,10,1976,173,221,.2845,7.58883,0,1,0,5.3981628,57.59034,.2845,5.1532917
