year,age,agesq,nbh,cbd,intst,lintst,price,rooms,area,land,baths,dist,ldist,wind,lprice,y81,larea,lland,y81ldist,lintstsq,nearinc,y81nrinc,rprice,lrprice
1978,48,2304,4,3000,1000,6.9078002,60000,7,1660,4578,1,10700,9.2779989,3,11.0021,0,7.4145727,8.4290171,0,47.717705,1,0,60000,11.0021
1978,83,6889,4,4000,1000,6.9078002,40000,6,2612,8370,2,11000,9.3056507,3,10.596635,0,7.8678713,9.0324087,0,47.717705,1,0,40000,10.596635
1978,58,3364,4,4000,1000,6.9078002,34000,6,1144,5000,1,11500,9.3501024,3,10.434115,0,7.0422864,8.5171928,0,47.717705,1,0,34000,10.434115
1978,11,121,4,4000,1000,6.9078002,63900,5,1136,10000,1,11900,9.3842936,3,11.065075,0,7.0352688,9.2103405,0,47.717705,1,0,63900,11.065075
1978,48,2304,4,4000,2000,7.6009002,44000,5,1868,10000,1,12100,9.4009609,3,10.691945,0,7.5326238,9.2103405,0,57.773682,1,0,44000,10.691945
1978,78,6084,4,3000,2000,7.6009002,46000,6,1780,9500,3,10000,9.2103395,3,10.736397,0,7.4843688,9.1590471,0,57.773682,1,0,46000,10.736397
1978,22,484,4,4000,2000,7.6009002,56000,6,1700,10878,2,11700,9.3673439,3,10.933107,0,7.4383836,9.2944975,0,57.773682,1,0,56000,10.933107
1978,78,6084,4,3000,2000,7.6009002,38500,6,1556,3870,2,10200,9.2301426,3,10.558414,0,7.3498735,8.2610102,0,57.773682,1,0,38500,10.558414
1978,42,1764,4,3000,2000,7.6009002,60500,8,1642,7000,2,10500,9.2591314,3,11.010399,0,7.4036703,8.8536654,0,57.773682,1,0,60500,11.010399
1978,41,1681,4,3000,2000,7.6009002,55000,5,1443,7950,2,11000,9.3056507,3,10.915089,0,7.2744794,8.9809275,0,57.773682,1,0,55000,10.915089
1978,78,6084,4,1000,4000,8.2939997,39000,6,1439,4990,1,8600,9.0595169,3,10.571317,0,7.2717037,8.5151911,0,68.790428,1,0,39000,10.571317
1978,38,1444,0,6000,4000,8.2939997,41000,5,1482,8017,1,12200,9.4091911,3,10.621327,0,7.3011479,8.9893198,0,68.790428,1,0,41000,10.621327
1978,18,324,0,5000,4000,8.2939997,50900,6,1290,12538,2,12400,9.4254522,3,10.837618,0,7.1623974,9.4365196,0,68.790428,1,0,50900,10.837618
1978,32,1024,0,9000,7000,8.8536997,52000,6,1274,7858,1,16800,9.7291336,3,10.858999,0,7.1499166,8.9692879,0,78.388,0,0,52000,10.858999
1978,18,324,0,9000,8000,8.9871998,49000,6,1476,15664,1,17200,9.7526646,3,10.799576,0,7.297091,9.6591206,0,80.76976,0,0,49000,10.799576
1978,58,3364,4,2000,3000,8.0064001,80000,7,1838,9249,2,9900,9.2002897,3,11.289782,0,7.5164332,9.1322708,0,64.10244,1,0,80000,11.289782
1978,56,3136,4,2000,3000,8.0064001,50000,6,1536,10491,2,10000,9.2103395,3,10.819778,0,7.336937,9.2582731,0,64.10244,1,0,50000,10.819778
1978,70,4900,4,2000,3000,8.0064001,59000,5,2458,9400,2,10000,9.2103395,3,10.985292,0,7.8071032,9.1484652,0,64.10244,1,0,59000,10.985292
1978,26,676,4,3000,4000,8.2939997,42000,4,750,8000,1,10600,9.268609,3,10.645425,0,6.6200733,8.9871969,0,68.790428,1,0,42000,10.645425
1978,21,441,4,4000,4000,8.2939997,71500,5,2106,13370,2,11700,9.3673439,3,11.177453,0,7.6525459,9.5007687,0,68.790428,1,0,71500,11.177453
1978,24,576,4,4000,5000,8.5172005,43000,4,1000,8000,1,11700,9.3673439,5,10.668956,0,6.9077554,8.9871969,0,72.542702,1,0,43000,10.668956
1978,33,1089,4,5000,5000,8.5172005,48000,6,1410,10370,2,12500,9.4334841,5,10.778956,0,7.2513452,9.2466726,0,72.542702,1,0,48000,10.778956
1978,128,16384,2,14000,14000,9.5467997,37500,7,2346,43560,2,19600,9.8832846,7,10.532096,0,7.7604671,10.681894,0,91.14138,0,0,37500,10.532096
1978,15,225,2,18000,18000,9.7981005,59000,6,1215,44867,1,24000,10.08581,7,10.985292,0,7.1024995,10.711458,0,96.002769,0,0,59000,10.985292
1978,7,49,2,18000,18000,9.7981005,59000,6,2128,44174,2,22200,10.00785,7,10.985292,0,7.6629376,10.695891,0,96.002769,0,0,59000,10.985292
1978,0,0,2,16000,17000,9.7410002,94000,7,2290,25250,3,21700,9.9850683,7,11.45105,0,7.7363071,10.136581,0,94.887085,0,0,94000,11.45105
1978,0,0,2,17000,17000,9.7410002,95920,7,2464,48269,3,21700,9.9850683,7,11.47127,0,7.8095412,10.784545,0,94.887085,0,0,95920,11.47127
1978,0,0,2,17000,17000,9.7410002,95000,7,2240,44916,3,21900,9.9942417,7,11.461632,0,7.714231,10.712549,0,94.887085,0,0,95000,11.461632
1978,0,0,2,17000,17000,9.7410002,95900,7,2464,50808,3,22000,9.9987984,7,11.471062,0,7.8095412,10.835809,0,94.887085,0,0,95900,11.471062
1978,1,1,2,16000,17000,9.7410002,91000,7,2240,53000,3,21600,9.9804487,7,11.418614,0,7.714231,10.878047,0,94.887085,0,0,91000,11.418614
1978,0,0,2,16000,16000,9.6802998,96900,7,2464,41463,3,21500,9.9758081,7,11.481435,0,7.8095412,10.632557,0,93.708206,0,0,96900,11.481435
