age,work,study,econhs,colgpa,hsgpa,acteng,actmth,act,mathscr,male,calculus,attexc,attgood,fathcoll,mothcoll,score
23,15,10,0,3.4909,3.355,24,26,27,10,1,1,0,0,1,1,84.43
23,0,22.5,1,2.0999999,3.2190001,23,20,24,9,1,0,0,0,0,1,57.380001
21,25,12,0,3.0850999,3.306,21,24,21,8,1,1,1,0,0,1,66.389999
22,30,40,0,2.6805,3.977,31,28,31,10,0,1,0,1,1,1,81.150002
22,25,15,1,3.7454,3.8900001,28,31,32,8,1,1,0,1,0,1,95.900002
22,0,30,0,3.0555,3.5,25,30,28,10,1,1,1,0,0,1,83.610001
22,20,25,1,2.1666,3,15,19,18,9,0,1,0,1,0,0,76.230003
22,20,15,0,3.2544,3.77,28,30,32,9,1,1,1,0,1,1,84.43
22,28,7,0,3.1298001,3.927,28,28,30,6,0,0,1,0,0,1,79.510002
21,22.5,25,0,2.2423999,2.77,18,19,17,9,0,1,0,1,0,0,46.720001
21,0,25,0,2.8666,3.677,25,23,24,10,0,1,0,1,0,0,83.610001
20,30,15,0,2.9363,3.2219999,27,21,26,8,0,1,0,0,0,1,71.309998
19,8,22.5,1,3.6607001,3.575,27,21,23,9,0,0,1,0,0,0,79.510002
20,22.5,17.5,1,1.6511,3.3940001,22,19,22,7,0,0,0,1,1,1,59.02
22,10,12,1,2.7405,3.26,,,,7,0,1,0,1,0,1,65.57
19,10,20,0,3.3898001,3.842,28,28,26,9,0,1,1,0,1,1,83.610001
21,22.5,10.5,0,1.8604,2.76,17,16,17,2,0,0,0,1,0,0,54.919998
20,10,10,0,3.0952001,3.3889999,24,26,24,9,0,1,0,1,1,1,77.870003
21,25,12,0,2.5078001,3.378,28,24,29,6,0,0,0,0,1,1,67.209999
21,10,20,1,3.6931,3.98,28,23,24,9,0,1,0,1,0,1,74.589996
28,0,20,1,2.4890001,3.45,21,21,19,6,0,0,0,1,1,1,40.98
22,20,4,0,2.8025999,3.244,18,18,20,4,0,0,0,1,1,0,69.669998
19,12.5,11,0,2.8599999,3.812,23,26,23,8,1,1,1,0,0,0,75.410004
